DAUID,xCoord,yCoord
48060306,-114.18447,51.0908013
48060921,-113.99554,51.0433473
48060498,-114.08475,50.9196769
48060567,-114.09297,51.0148067
48060859,-114.05436,51.0544563
48060767,-114.11500,50.9830070
48060529,-114.08681,50.9582766
48061231,-114.01221,50.9459596
48061637,-114.07791,51.1343771
48061284,-114.05619,50.9778261
48061766,-114.10451,51.1531206
48060417,-114.08792,51.0883279
48062175,-114.22657,51.1174302
48061585,-113.97637,51.0197143
48060302,-114.19337,51.1075178
48061861,-114.18114,51.0169424
48060849,-114.11259,51.0586526
48060544,-114.09204,50.9826551
48060583,-114.09246,51.0418475
48062303,-114.08231,51.1711480
48061317,-114.07777,50.9357840
48060897,-114.04574,51.0592493
48062358,-114.13054,51.1524662
48061259,-114.03523,50.9330919
48060102,-114.08071,51.0747586
48061606,-114.11705,51.1498614
48060569,-114.09685,51.0224265
48060814,-114.12926,50.9680720
48060078,-114.05681,51.1167579
48061260,-114.03771,50.9372010
48062213,-114.00493,50.9725127
48061513,-114.06149,51.1441755
48062252,-114.21256,51.0114004
48061307,-114.05151,50.9469713
48061617,-114.04034,50.9008433
48060556,-114.07897,51.0030809
48060502,-114.09778,50.9299300
48062155,-114.00675,50.9533789
48060240,-114.17441,51.1193464
48060991,-113.95677,51.0512794
48060403,-114.06195,51.1135307
48061362,-114.05320,50.9110021
48060928,-114.00500,51.0616356
48062208,-114.11091,51.1128475
48060811,-114.13539,50.9676917
48060061,-114.08578,51.1338216
48062367,-114.20726,51.0274146
48061146,-113.96323,51.0245451
48060317,-114.12587,51.0901977
